date,option_pnl,futures_pnl,cost,total_pnl,theta_pnl,gamma_pnl,vega_pnl,residual_pnl,futures_position,delta_hedge_change,delta,gamma,vega,theta,iv,F,P,cum_pnl
2025-03-19,3400.0,0.0,-15.791783174262852,3384.208216825737,0.0,0.0,0.0,0.0,-0.022131386244937185,-0.022131386244937185,-0.08852554497974874,9.94476268146558e-05,977.9110085417956,-4.620325162842078,0.26441373429328197,22018.0,68.0,3384.208216825737
2025-03-20,1775.0,-1535.9182053986406,-1.1661899171897256,237.91560468416972,231.01625814210388,-299.35973242814725,509.37911564410996,1333.9643586419334,-0.011477358132478518,0.010654028112458667,-0.04590943252991407,6.585054585610173e-05,618.8637178764831,-2.9123144124698745,0.24882592915040253,22365.0,32.5,3622.123821509907
2025-03-21,-375.0,422.36677927520947,-1.4754876749645678,45.8912916002449,145.61572062349373,-55.73590201260451,-31.28030182597402,-433.5995167849152,-0.025048305439094976,-0.013570947306616458,-0.1001932217563799,7.88159516592793e-05,704.3829485138878,-3.456011691596051,0.31325139115267986,22181.0,40.0,3668.015113110152
2025-03-24,-0.0,150.28983263456985,-0.3871316409618037,149.90270099360805,172.80058457980255,-1.7733589123337845,-471.77972799154696,300.7525023240782,-0.021483688657376036,0.003564616781718939,-0.08593475462950415,8.035417915797883e-05,666.8323088592861,-3.892586503946474,0.3066114343886971,22151.0,40.0,3817.91781410376
2025-03-25,675.0,-644.5106597212811,-0.2542577673247969,30.235082511394143,194.6293251973237,-45.199225776363086,129.0959788911219,396.4739216879175,-0.01915540610980638,0.0023282825475696572,-0.07662162443922552,6.385637088236679e-05,506.3590482936615,-3.0454048283981536,0.3194705391666294,22301.0,26.5,3848.152896615154
2025-03-26,250.0,-11.493243665883828,-1.4480619176114526,237.05869441650472,152.27024141990768,-0.014367683448532526,106.87215392029923,-9.128027656758377,-0.00589670850495496,0.013258697604851419,-0.02358683401981984,5.896866808083072e-05,439.3423251699644,-2.7239024835737617,0.23233809396141764,22304.0,21.5,4085.211591031659
2025-03-27,-675.0,392.7207864300004,-3.0624590664887332,-285.34167263648834,136.19512417868808,-163.47441587038094,-39.856371405169085,-607.8643369031381,-0.034283300274714455,-0.028386591769759495,-0.13713320109885782,8.72280816303905e-05,604.7827983786024,-3.9647081153547714,0.38317478503924607,21971.0,35.0,3799.8699183951703
2025-03-28,-1400.0,2550.6775404387554,-1.3384620177488193,1149.3390784210067,198.23540576773857,-301.774271208499,-171.91224557439236,-1124.5488889848473,-0.046863303449164805,-0.01258000317445035,-0.18745321379665922,0.00013154611218310527,855.5214633375143,-6.032089946905742,0.4008404078912139,21599.0,63.0,4949.208996816177
2025-03-31,-9200.0,7826.171676010523,-3.0074247807112955,-1376.8357487701885,301.6044973452871,-2292.9309516716394,-2274.4939049922573,-4934.17964068139,-0.0760457361140392,-0.029182432664874393,-0.3041829444561568,0.00023985567504249215,1455.051535269881,-14.605749134266501,0.37926710491853954,20764.0,247.0,3572.3732480459885
2025-04-01,6150.0,-6433.469275247717,-1.745153585711009,-285.21442883342775,730.287456713325,-1072.9284019919521,912.37667920142,5580.264266077207,-0.05938524058466385,0.016660495529375347,-0.2375409623386554,0.00019104297615768248,1087.0242803050367,-11.181396484158025,0.42400753890579945,21187.0,124.0,3287.158819212561
2025-04-02,450.0,-1294.598244745672,-3.9090650408441476,-848.5073097865161,559.0698242079012,-56.74453999323564,-1053.3184980001265,1000.993213785461,-0.022221175319565096,0.03716406526509876,-0.08888470127826038,0.0001750908144577842,998.4584558609929,-11.694748777457344,0.24221100633472203,21296.0,115.0,2438.651509426045
2025-04-07,-45250.0,9461.776451070818,-14.63628360456757,-35802.859832533744,584.7374388728672,-19840.595108368638,-3852.736774188789,-22141.40555631544,-0.173628917328995,-0.15140774200942989,-0.69451566931598,0.0002670610356567882,979.7531832220529,-22.087696008308637,0.49415743041986226,19167.0,1020.0,-33364.2083231077
2025-04-08,-44000.0,34656.3318988674,-0.7025029795193499,-9344.370604112119,1104.3848004154318,-6649.846493957592,-5154.4264743457925,-33300.111832112045,-0.18120912126010283,-0.007580203931107837,-0.7248364850404113,0.0001358182835583073,501.38176523770306,-16.06932257939375,0.9684196205424666,18169.0,1900.0,-42708.578927219816
2025-04-09,-47000.0,35698.19688824026,-2.8618317405804676,-11304.664943500322,803.4661289696875,-3294.3573541339674,-2777.0039137547265,-41732.104861080996,-0.21346020019740525,-0.03225107893730242,-0.853840800789621,6.131157805656221e-05,215.61471776541643,-9.684967392356366,0.9768334113575815,17184.0,2840.0,-54013.243870720136
2025-04-10,86500.0,-73344.92478782844,-2.3538165483396707,13152.721395623223,484.2483696178183,-4524.064852795418,3880.2563178997284,86659.56016527787,-0.23807965200415437,-0.024619451806749126,-0.9523186080166175,0.00015626356290534808,239.59324544131206,-5.259671431778648,0.2610615694063305,18902.0,1110.0,-40860.522475096914
2025-04-11,22750.0,-30521.811386932593,-6.841533996506227,-7778.652920929099,262.9835715889324,-1605.143224752808,-1858.483711315568,25950.643364479445,-0.16839039237303524,0.06968925963111913,-0.673561569492141,0.0003786019096798426,824.4086468619721,-34.33960935456203,0.41619813912826786,19543.0,655.0,-48639.17539602601
2025-04-14,2750.0,1549.1916098319243,-2.0702525502532185,4297.121357281671,1716.9804677281015,-20.02804102206367,-2597.563596512583,3650.611169806545,-0.18951800545068984,-0.021127613077654595,-0.7580720218027593,0.0004513436510038868,450.5158196917556,-53.99888571899095,0.4792145474689602,19497.0,600.0,-44342.05403874434
2025-04-15,17100.0,-11257.369523770976,-0.5990347221900805,5842.031441506833,2699.9442859495475,-995.3143027850463,3755.3149492668504,11640.055067568648,-0.18347788765817874,0.006040117792511096,-0.733911550632715,0.0010136474358283104,340.02828619339135,-53.14082102707896,0.3125027568891644,19794.0,258.0,-38500.022597237505
2025-04-16,-9700.0,9027.112072782395,-18.016060744931888,-690.9039879625374,0.0,0.0,0.0,0.0,0.0,0.18347788765817874,,,,,,,,-39190.92658520004
