date,contract,contract month(Week),open,high,low,last,Change,%,Volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low,trading_halt,Trading Session,Volume(executions among spread order and single order only)
2025/04/08,TX,202504  ,17768,19299,17566,18406,-761,-3.97%,201617,-,-,18375,18407,23867,17566,,After-Hours,,
2025/04/08,TX,202505  ,18601,18733,18000,18178,-1009,-5.26%,1805,18151,2677,18178,18187,23821,17280,,Regular,,
2025/04/08,TX,202505  ,17280,19223,17280,18340,-847,-4.41%,2286,-,-,18330,18366,23821,17280,,After-Hours,,
2025/04/08,TX,202506  ,18514,18617,17966,18110,-1063,-5.54%,245,18125,510,18147,18160,24547,17256,,Regular,,
2025/04/08,TX,202506  ,17256,19000,17256,18284,-889,-4.64%,306,-,-,18251,18304,24547,17256,,After-Hours,,
2025/04/08,TX,202509  ,18079,18362,17714,17833,-1098,-5.80%,63,17833,917,17844,17857,23902,17038,,Regular,,
2025/04/08,TX,202509  ,17038,18500,17038,17849,-1082,-5.72%,102,-,-,17905,17973,23902,17038,,After-Hours,,
2025/04/08,TX,202512  ,18098,18343,17750,17889,-1048,-5.53%,34,17848,260,17835,17862,24048,17045,,Regular,,
2025/04/08,TX,202512  ,17045,18300,17045,18016,-921,-4.86%,48,-,-,17852,17974,24048,17045,,After-Hours,,
2025/04/08,TX,202603  ,18000,18400,17772,17886,-1064,-5.61%,7,17886,88,17717,17878,22263,17220,,Regular,,
2025/04/08,TX,202603  ,17398,17967,17220,17863,-1087,-5.74%,19,-,-,17860,18047,22263,17220,,After-Hours,,
2025/04/09,TX,202504  ,17846,18286,17139,17204,-965,-5.31%,176779,17184,75040,17203,17204,23867,17139,,Regular,,
2025/04/09,TX,202504  ,18245,18845,17726,18050,-119,-0.65%,160852,-,-,18040,18050,23867,17566,,After-Hours,,
2025/04/09,TX,202505  ,17860,18281,17138,17202,-949,-5.23%,3509,17181,4504,17193,17197,23821,17138,,Regular,,
2025/04/09,TX,202505  ,18281,18821,17734,18050,-101,-0.56%,3165,-,-,18043,18056,23821,17280,,After-Hours,,
2025/04/09,TX,202506  ,17894,18250,17140,17224,-901,-4.97%,282,17183,564,17181,17186,24547,17140,,Regular,,
2025/04/09,TX,202506  ,18181,18777,17754,18000,-125,-0.69%,287,-,-,18014,18035,24547,17256,,After-Hours,,
2025/04/09,TX,202509  ,17574,17947,16907,16959,-874,-4.90%,91,16889,958,16886,16893,23902,16907,,Regular,,
2025/04/09,TX,202509  ,17979,18446,17500,17550,-283,-1.59%,79,-,-,17718,17760,23902,17038,,After-Hours,,
2025/04/09,TX,202512  ,17608,17928,16943,16999,-849,-4.76%,17,16900,281,16894,16907,24048,16943,,Regular,,
2025/04/09,TX,202512  ,17889,18461,17574,17700,-148,-0.83%,33,-,-,17726,17774,24048,17045,,After-Hours,,
2025/04/09,TX,202603  ,17650,17650,17650,17650,-236,-1.32%,2,16898,89,16863,16934,22263,17220,,Regular,,
2025/04/09,TX,202603  ,17903,18463,17507,17507,-379,-2.12%,5,-,-,17641,17793,22263,17220,,After-Hours,,
2025/04/10,TX,202504  ,18902,18902,18902,18902,1718,10.00%,2382,18902,73614,18902,-,23867,17015,,Regular,,
2025/04/10,TX,202504  ,17336,18902,17015,18902,1718,10.00%,174279,-,-,18902,-,23867,17015,,After-Hours,,
2025/04/10,TX,202505  ,18899,18899,18899,18899,1718,10.00%,1017,18899,5207,18899,-,23821,17011,,Regular,,
2025/04/10,TX,202505  ,17300,18899,17011,18899,1718,10.00%,6934,-,-,18899,-,23821,17011,,After-Hours,,
2025/04/10,TX,202506  ,18901,18901,18901,18901,1718,10.00%,662,18901,1077,18901,-,24547,17000,,Regular,,
2025/04/10,TX,202506  ,17374,18901,17000,18901,1718,10.00%,598,-,-,18901,-,24547,17000,,After-Hours,,
2025/04/10,TX,202509  ,18577,18577,18577,18577,1688,9.99%,307,18577,1076,18577,-,23902,16850,,Regular,,
2025/04/10,TX,202509  ,17185,18577,16850,18577,1688,9.99%,63,-,-,18577,-,23902,16850,,After-Hours,,
2025/04/10,TX,202512  ,18590,18590,18590,18590,1690,10.00%,378,18590,438,18590,-,24048,16873,,Regular,,
2025/04/10,TX,202512  ,16873,18590,16873,18590,1690,10.00%,36,-,-,18590,-,24048,16873,,After-Hours,,
2025/04/10,TX,202603  ,18587,18587,18587,18587,1689,10.00%,213,18587,165,18587,-,22263,17068,,Regular,,
2025/04/10,TX,202603  ,17068,18113,17068,18113,1215,7.19%,6,-,-,18587,-,22263,17068,,After-Hours,,
2025/04/11,TX,202504  ,18560,19566,18441,19524,622,3.29%,132834,19543,68917,19522,19526,23867,17015,,Regular,,
2025/04/11,TX,202504  ,19682,19744,18384,18838,-64,-0.34%,164261,-,-,18837,18842,23867,17015,,After-Hours,,
2025/04/11,TX,202505  ,18566,19550,18436,19511,612,3.24%,9094,19519,9290,19507,19512,23821,17011,,Regular,,
2025/04/11,TX,202505  ,19680,19715,18394,18830,-69,-0.37%,7279,-,-,18831,18841,23821,17011,,After-Hours,,
2025/04/11,TX,202506  ,18679,19498,18443,19498,597,3.16%,181,19460,1074,19455,19465,24547,17000,,Regular,,
2025/04/11,TX,202506  ,19655,19675,18446,18795,-106,-0.56%,416,-,-,18804,18819,24547,17000,,After-Hours,,
2025/04/11,TX,202509  ,18300,19188,18300,19188,611,3.29%,35,19158,1058,19145,19171,23902,16850,,Regular,,
2025/04/11,TX,202509  ,19345,19361,18222,18274,-303,-1.63%,47,-,-,18487,18517,23902,16850,,After-Hours,,
2025/04/11,TX,202512  ,18300,18950,18271,18950,360,1.94%,10,19156,431,19147,19166,24048,16873,,Regular,,
2025/04/11,TX,202512  ,19365,19365,18210,18210,-380,-2.04%,19,-,-,18492,18519,24048,16873,,After-Hours,,
2025/04/11,TX,202603  ,18870,18870,18870,18870,283,1.52%,1,19159,162,19142,19176,22263,17068,,Regular,,
2025/04/11,TX,202603  ,18679,18691,18679,18691,104,0.56%,2,-,-,18492,18522,22263,17068,,After-Hours,,
2025/04/14,TX,202504  ,19800,19982,19450,19491,-52,-0.27%,129898,19497,42611,19493,19498,23867,17015,,Regular,,
2025/04/14,TX,202504  ,19539,19588,19179,19527,-16,-0.08%,105876,-,-,19527,19538,23867,17015,,After-Hours,,
2025/04/14,TX,202505  ,19762,19943,19425,19471,-48,-0.25%,41274,19476,36666,19470,19476,23821,17011,,Regular,,
2025/04/14,TX,202505  ,19519,19541,19159,19488,-31,-0.16%,5940,-,-,19488,19500,23821,17011,,After-Hours,,
2025/04/14,TX,202506  ,19732,19903,19370,19400,-60,-0.31%,245,19400,1103,19404,19417,24547,17000,,Regular,,
2025/04/14,TX,202506  ,19425,19500,19133,19463,3,0.02%,184,-,-,19457,19473,24547,17000,,After-Hours,,
2025/04/14,TX,202509  ,19407,19579,19089,19089,-69,-0.36%,40,19089,1061,19082,19118,23902,16850,,Regular,,
2025/04/14,TX,202509  ,19071,19189,18842,19189,31,0.16%,20,-,-,19142,19183,23902,16850,,After-Hours,,
2025/04/14,TX,202512  ,19412,19545,19074,19074,-82,-0.43%,26,19098,436,19079,19118,24048,16873,,Regular,,
2025/04/14,TX,202512  ,19015,19197,18915,19130,-26,-0.14%,14,-,-,19143,19178,24048,16873,,After-Hours,,
2025/04/14,TX,202603  ,19560,19560,19120,19120,-39,-0.20%,2,19120,163,19073,19128,22263,17068,,Regular,,
2025/04/14,TX,202603  ,19067,19070,19067,19070,-89,-0.46%,3,-,-,19152,19189,22263,17068,,After-Hours,,
2025/04/15,TX,202504  ,19585,19833,19517,19798,301,1.54%,83145,19794,23627,19797,19800,23867,17015,,Regular,,
2025/04/15,TX,202504  ,19543,19634,19348,19504,7,0.04%,63425,-,-,19501,19505,23867,17015,,After-Hours,,
2025/04/15,TX,202505  ,19555,19803,19482,19779,303,1.56%,41339,19778,61771,19778,19784,23821,17011,,Regular,,
2025/04/15,TX,202505  ,19505,19596,19318,19468,-8,-0.04%,5559,-,-,19466,19472,23821,17011,,After-Hours,,
2025/04/15,TX,202506  ,19503,19731,19450,19715,315,1.62%,131,19715,1091,19712,19725,24547,17000,,Regular,,
2025/04/15,TX,202506  ,19425,19530,19286,19434,34,0.18%,156,-,-,19412,19425,24547,17000,,After-Hours,,
2025/04/15,TX,202509  ,19162,19389,19162,19386,297,1.56%,14,19386,1063,19372,19445,23902,16850,,Regular,,
2025/04/15,TX,202509  ,19094,19194,19038,19038,-51,-0.27%,11,-,-,19096,19119,23902,16850,,After-Hours,,
2025/04/15,TX,202512  ,19157,19351,19157,19351,253,1.32%,5,19390,434,19367,19413,24048,16873,,Regular,,
2025/04/15,TX,202512  ,19040,19040,19040,19040,-58,-0.30%,1,-,-,19086,19120,24048,16873,,After-Hours,,
2025/04/15,TX,202603  ,-,-,-,-,-,-,0,19387,163,19368,19407,22263,17068,,Regular,,
2025/04/15,TX,202603  ,-,-,-,-,-,-,0,-,-,19086,19125,22263,17068,,After-Hours,,
2025/04/16,TX,202504  ,19601,19672,19426,19548,-246,-1.24%,40993,0,13745,19548,19549,23867,17015,,Regular,,
2025/04/16,TX,202504  ,19810,19911,19726,19818,24,0.12%,46864,-,-,19811,19819,23867,17015,,After-Hours,,
2025/04/16,TX,202505  ,19539,19622,19304,19353,-425,-2.15%,52635,19349,72455,19353,19354,23821,17011,,Regular,,
2025/04/16,TX,202505  ,19782,19887,19707,19788,10,0.05%,9223,-,-,19787,19796,23821,17011,,After-Hours,,
2025/04/16,TX,202506  ,19515,19569,19267,19295,-420,-2.13%,565,19295,1252,19302,19307,24547,17000,,Regular,,
2025/04/16,TX,202506  ,19720,19831,19657,19735,20,0.10%,149,-,-,19746,19757,24547,17000,,After-Hours,,
2025/04/16,TX,202509  ,19198,19230,19006,19006,-380,-1.96%,32,18967,1016,18933,19001,23902,16850,,Regular,,
2025/04/16,TX,202509  ,19452,19480,19325,19422,36,0.19%,35,-,-,19397,19456,23902,16850,,After-Hours,,
2025/04/16,TX,202512  ,19203,19203,18996,18996,-394,-2.03%,11,18996,437,18869,19006,24048,16873,,Regular,,
2025/04/16,TX,202512  ,19442,19477,19425,19425,35,0.18%,8,-,-,19391,19433,24048,16873,,After-Hours,,
2025/04/16,TX,202603  ,19100,19100,19000,19000,-387,-2.00%,12,19000,174,18953,19009,22263,17068,,Regular,,
2025/04/16,TX,202603  ,-,-,-,-,-,-,0,-,-,19396,19444,22263,17068,,After-Hours,,
2025/03/19,TX,202503/202504    ,13,68,7,68,-,-,2915,-,-,50,75,68,-20,,Regular,7147,
2025/03/19,TX,202503/202504    ,17,17,3,9,-,-,761,-,-,9,15,41,-20,,After-Hours,2366,
2025/03/19,TX,202503/202505    ,-,-,-,-,-,-,0,-,-,-,-,79,-15,,Regular,2,
2025/03/19,TX,202503/202505    ,-,-,-,-,-,-,0,-,-,24,41,79,-15,,After-Hours,7,
2025/03/19,TX,202503/202506    ,16,16,14,14,-,-,5,-,-,0,-,119,-20,,Regular,12,
2025/03/19,TX,202503/202506    ,-,-,-,-,-,-,0,-,-,16,40,119,-20,,After-Hours,4,
2025/03/19,TX,202504/202505    ,32,32,32,32,-,-,1,-,-,30,33,32,15,,Regular,162,
2025/03/19,TX,202504/202505    ,15,28,15,25,-,-,5,-,-,19,24,28,15,,After-Hours,47,
2025/03/19,TX,202504/202506    ,-,-,-,-,-,-,0,-,-,34,38,43,10,,Regular,37,
2025/03/19,TX,202504/202506    ,-,-,-,-,-,-,0,-,-,5,26,43,10,,After-Hours,1,
2025/03/19,TX,202504/202509    ,-186,-186,-186,-186,-,-,1,-,-,-184,-178,-186,-186,,Regular,3,
2025/03/19,TX,202504/202512    ,-155,-155,-155,-155,-,-,1,-,-,-160,-144,-110,-155,,Regular,8,
2025/03/19,TX,202504/202512    ,-,-,-,-,-,-,0,-,-,-209,-170,-110,-145,,After-Hours,1,
2025/03/19,TX,202505/202506    ,-,-,-,-,-,-,0,-,-,-13,4,23,21,,After-Hours,2,
2025/03/19,TX,202506/202509    ,-,-,-,-,-,-,0,-,-,-237,-212,-179,-242,,Regular,2,
2025/03/19,TX,202506/202509    ,-,-,-,-,-,-,0,-,-,-247,-226,-179,-242,,After-Hours,1,
2025/03/19,TX,202509/202512    ,37,37,37,37,-,-,1,-,-,36,74,106,37,,Regular,7,
2025/03/19,TX,202509/202512    ,-,-,-,-,-,-,0,-,-,33,57,106,90,,After-Hours,4,
2025/03/20,TX,202504/202505    ,15,20,15,15,-,-,13,-,-,15,19,32,15,,Regular,381,
2025/03/20,TX,202504/202505    ,-,-,-,-,-,-,0,-,-,13,18,32,15,,After-Hours,246,
2025/03/20,TX,202504/202506    ,11,11,10,10,-,-,8,-,-,11,15,43,10,,Regular,68,
2025/03/20,TX,202504/202506    ,31,31,17,18,-,-,25,-,-,12,17,43,10,,After-Hours,48,
2025/03/20,TX,202504/202509    ,-209,-209,-229,-226,-,-,18,-,-,-227,-225,-186,-229,,Regular,14,
2025/03/20,TX,202504/202509    ,-,-,-,-,-,-,0,-,-,-218,-204,-186,-186,,After-Hours,7,
2025/03/20,TX,202504/202512    ,-196,-196,-220,-220,-,-,26,-,-,-222,-212,-110,-220,,Regular,4,
2025/03/20,TX,202504/202512    ,-,-,-,-,-,-,0,-,-,-195,-180,-110,-155,,After-Hours,3,
2025/03/20,TX,202504/202603    ,-105,-105,-155,-155,-,-,61,-,-,-195,-151,-105,-155,,Regular,8,
2025/03/20,TX,202505/202506    ,1,1,1,1,-,-,1,-,-,-,400,23,1,,Regular,11,
2025/03/20,TX,202505/202506    ,-,-,-,-,-,-,0,-,-,-,0,23,21,,After-Hours,3,
2025/03/20,TX,202505/202512    ,-,-,-,-,-,-,0,-,-,-238,-182,-,-,,Regular,1,
2025/03/20,TX,202506/202509    ,-,-,-,-,-,-,0,-,-,-245,-221,-179,-242,,After-Hours,1,
2025/03/20,TX,202509/202512    ,-,-,-,-,-,-,0,-,-,21,36,106,37,,After-Hours,1,
2025/03/20,TX,202512/202603    ,49,56,49,56,-,-,10,-,-,-,57,56,49,,Regular,2,
2025/03/21,TX,202504/202505    ,22,26,22,26,-,-,9,-,-,23,25,32,15,,Regular,350,
2025/03/21,TX,202504/202505    ,19,19,19,19,-,-,10,-,-,19,23,32,15,,After-Hours,345,
2025/03/21,TX,202504/202506    ,-,-,-,-,-,-,0,-,-,17,19,43,10,,Regular,54,
2025/03/21,TX,202504/202506    ,16,19,16,19,-,-,6,-,-,13,18,43,10,,After-Hours,102,
2025/03/21,TX,202504/202509    ,-228,-228,-234,-234,-,-,7,-,-,-237,-231,-186,-234,,Regular,11,
2025/03/21,TX,202504/202509    ,-,-,-,-,-,-,0,-,-,-230,-223,-186,-229,,After-Hours,16,
2025/03/21,TX,202504/202512    ,-,-,-,-,-,-,0,-,-,-232,-221,-110,-220,,Regular,9,
2025/03/21,TX,202504/202512    ,-,-,-,-,-,-,0,-,-,-225,-217,-110,-220,,After-Hours,14,
2025/03/21,TX,202504/202603    ,-207,-207,-207,-207,-,-,1,-,-,-220,-181,-105,-207,,Regular,13,
2025/03/21,TX,202505/202603    ,-,-,-,-,-,-,0,-,-,-,-214,-,-,,Regular,2,
2025/03/21,TX,202506/202509    ,-,-,-,-,-,-,0,-,-,-254,-228,-179,-242,,Regular,4,
2025/03/21,TX,202512/202603    ,-,-,-,-,-,-,0,-,-,-2,43,56,44,,Regular,4,
2025/03/21,TX,202512/202603    ,54,56,44,44,-,-,4,-,-,-,59,56,44,,After-Hours,7,
2025/03/24,TX,202504/202505    ,22,25,22,25,-,-,35,-,-,22,25,32,15,,Regular,322,
2025/03/24,TX,202504/202505    ,-,-,-,-,-,-,0,-,-,21,24,32,15,,After-Hours,297,
2025/03/24,TX,202504/202506    ,-,-,-,-,-,-,0,-,-,14,18,43,10,,Regular,46,
2025/03/24,TX,202504/202506    ,-,-,-,-,-,-,0,-,-,14,18,43,10,,After-Hours,87,
2025/03/24,TX,202504/202509    ,-231,-231,-235,-235,-,-,2,-,-,-247,-236,-186,-235,,After-Hours,19,
2025/03/24,TX,202504/202512    ,-,-,-,-,-,-,0,-,-,-238,-232,-110,-220,,Regular,2,
2025/03/24,TX,202504/202512    ,-,-,-,-,-,-,0,-,-,-235,-225,-110,-220,,After-Hours,1,
2025/03/24,TX,202504/202603    ,-,-,-,-,-,-,0,-,-,-227,-214,-105,-207,,Regular,2,
2025/03/24,TX,202506/202509    ,-,-,-,-,-,-,0,-,-,-260,-231,-179,-242,,After-Hours,2,
2025/03/24,TX,202512/202603    ,15,15,15,15,-,-,1,-,-,13,30,56,15,,After-Hours,0,
2025/03/25,TX,202504/202505    ,22,24,20,24,-,-,67,-,-,20,23,32,15,,Regular,428,
2025/03/25,TX,202504/202505    ,-,-,-,-,-,-,0,-,-,20,24,32,15,,After-Hours,258,
2025/03/25,TX,202504/202506    ,-,-,-,-,-,-,0,-,-,8,12,43,10,,Regular,91,
2025/03/25,TX,202504/202506    ,-,-,-,-,-,-,0,-,-,10,13,43,10,,After-Hours,33,
2025/03/25,TX,202504/202509    ,-,-,-,-,-,-,0,-,-,-259,-255,-186,-235,,Regular,17,
2025/03/25,TX,202504/202509    ,-,-,-,-,-,-,0,-,-,-254,-249,-186,-235,,After-Hours,5,
2025/03/25,TX,202504/202512    ,-,-,-,-,-,-,0,-,-,-261,-251,-110,-220,,Regular,6,
2025/03/25,TX,202504/202512    ,-,-,-,-,-,-,0,-,-,-253,-244,-110,-220,,After-Hours,8,
2025/03/25,TX,202504/202603    ,-,-,-,-,-,-,0,-,-,-239,-226,-105,-207,,Regular,1,
2025/03/25,TX,202504/202603    ,-,-,-,-,-,-,0,-,-,-230,-224,-105,-207,,After-Hours,1,
2025/03/25,TX,202506/202509    ,-,-,-,-,-,-,0,-,-,-276,-255,-179,-242,,Regular,1,
2025/03/25,TX,202506/202509    ,-,-,-,-,-,-,0,-,-,-263,-229,-179,-242,,After-Hours,2,
2025/03/26,TX,202504/202505    ,22,24,22,23,-,-,8,-,-,20,24,32,15,,Regular,294,
2025/03/26,TX,202504/202505    ,-,-,-,-,-,-,0,-,-,19,23,32,15,,After-Hours,165,
2025/03/26,TX,202504/202506    ,-,-,-,-,-,-,0,-,-,8,12,43,10,,Regular,44,
2025/03/26,TX,202504/202506    ,-,-,-,-,-,-,0,-,-,7,11,43,10,,After-Hours,36,
2025/03/26,TX,202504/202509    ,-,-,-,-,-,-,0,-,-,-261,-257,-186,-235,,Regular,15,
2025/03/26,TX,202504/202509    ,-,-,-,-,-,-,0,-,-,-260,-255,-186,-235,,After-Hours,1,
2025/03/26,TX,202504/202512    ,-,-,-,-,-,-,0,-,-,-260,-254,-110,-220,,Regular,6,
2025/03/26,TX,202504/202512    ,-,-,-,-,-,-,0,-,-,-263,-255,-110,-220,,After-Hours,2,
2025/03/26,TX,202504/202603    ,-,-,-,-,-,-,0,-,-,-241,-232,-105,-207,,Regular,2,
2025/03/27,TX,202504/202505    ,27,28,24,28,-,-,18,-,-,25,28,32,15,,Regular,355,
2025/03/27,TX,202504/202505    ,-,-,-,-,-,-,0,-,-,24,28,32,15,,After-Hours,521,
2025/03/27,TX,202504/202506    ,17,17,13,13,-,-,18,-,-,10,14,43,10,,Regular,103,
2025/03/27,TX,202504/202506    ,-,-,-,-,-,-,0,-,-,14,20,43,10,,After-Hours,74,
